,date,sex,confirmed,deceased
188,2020-06-05,female,6775,128
189,2020-06-05,male,4893,145
190,2020-06-06,female,6799,128
191,2020-06-06,male,4920,145
192,2020-06-07,female,6826,128
193,2020-06-07,male,4950,145
194,2020-06-08,female,6852,128
195,2020-06-08,male,4962,145
196,2020-06-09,female,6872,128
197,2020-06-09,male,4980,146
198,2020-06-10,female,6900,129
199,2020-06-10,male,5002,147
200,2020-06-11,female,6917,129
201,2020-06-11,male,5030,147
202,2020-06-12,female,6917,129
203,2020-06-12,male,5030,147
204,2020-06-13,female,6970,130
205,2020-06-13,male,5081,147
206,2020-06-14,female,6988,130
207,2020-06-14,male,5097,147
208,2020-06-16,female,7017,130
209,2020-06-16,male,5138,148
210,2020-06-17,female,7042,130
211,2020-06-17,male,5156,149
212,2020-06-18,female,7076,130
213,2020-06-18,male,5181,150
214,2020-06-19,female,7100,130
215,2020-06-19,male,5206,150
216,2020-06-20,female,7128,130
217,2020-06-20,male,5245,150
218,2020-06-21,female,7151,130
219,2020-06-21,male,5270,150
220,2020-06-22,female,7159,130
221,2020-06-22,male,5279,150
222,2020-06-23,female,7170,151
223,2020-06-23,male,5314,150
224,2020-06-24,female,7190,131
225,2020-06-24,male,5345,150
226,2020-06-25,female,7203,131
227,2020-06-25,male,5360,151
228,2020-06-26,female,7218,131
229,2020-06-26,male,5384,151
230,2020-06-27,female,7241,131
231,2020-06-27,male,5412,151
232,2020-06-28,female,7265,131
233,2020-06-28,male,5450,151
234,2020-06-29,female,7287,131
235,2020-06-29,male,5470,151
236,2020-06-30,female,7305,131
237,2020-06-30,male,5495,151
238,2020-07-01,female,7305,131
239,2020-07-01,male,5495,151
240,2020-07-02,female,7349,131
241,2020-07-02,male,5555,151
242,2020-07-03,female,7380,131
243,2020-07-03,male,5587,151
244,2020-07-04,female,7405,132
245,2020-07-04,male,5625,151
246,2020-07-05,female,7434,132
247,2020-07-05,male,5657,151
248,2020-07-06,female,7455,133
249,2020-07-06,male,5682,151
250,2020-07-07,female,7478,133
251,2020-07-07,male,5703,152
252,2020-07-08,female,7506,133
253,2020-07-08,male,5738,152
254,2020-07-09,female,7527,134
255,2020-07-09,male,5766,153
256,2020-07-10,female,7536,135
257,2020-07-10,male,5802,153
258,2020-07-11,female,7549,135
259,2020-07-11,male,5824,153
260,2020-07-12,female,7561,136
261,2020-07-12,male,5856,153
262,2020-07-13,female,7584,136
263,2020-07-13,male,5895,153
264,2020-07-14,female,7601,136
265,2020-07-14,male,5911,153
266,2020-07-15,female,7601,136
267,2020-07-15,male,5911,153
268,2020-07-16,female,7607,137
269,2020-07-16,male,5944,154
270,2020-07-17,female,7646,139
271,2020-07-17,male,6026,154
272,2020-07-18,female,7662,139
273,2020-07-18,male,6049,155
274,2020-07-19,female,7675,140
275,2020-07-19,male,6070,155
276,2020-07-20,female,7682,140
277,2020-07-20,male,6089,156
278,2020-07-21,female,7702,140
279,2020-07-21,male,6114,156
